,x,y,z,l,w,h
0,0.0,0.0,0.0,400.0,200.0,200.0
1,400.0,0.0,0.0,400.0,200.0,200.0
2,800.0,0.0,0.0,200.0,400.0,200.0
3,1000.0,0.0,0.0,100.0,300.0,200.0
4,1100.0,0.0,0.0,100.0,200.0,100.0
5,0.0,200.0,0.0,300.0,200.0,100.0
6,300.0,200.0,0.0,100.0,300.0,200.0
7,400.0,200.0,0.0,100.0,300.0,100.0
8,500.0,200.0,0.0,100.0,200.0,200.0
9,600.0,200.0,0.0,100.0,200.0,200.0
10,700.0,200.0,0.0,100.0,300.0,100.0
11,1100.0,200.0,0.0,100.0,200.0,200.0
12,1000.0,300.0,0.0,100.0,200.0,100.0
13,0.0,400.0,0.0,100.0,200.0,200.0
14,100.0,400.0,0.0,100.0,100.0,200.0
15,200.0,400.0,0.0,100.0,100.0,300.0
16,500.0,400.0,0.0,100.0,100.0,200.0
17,600.0,400.0,0.0,100.0,100.0,300.0
18,800.0,400.0,0.0,100.0,100.0,200.0
19,900.0,400.0,0.0,100.0,200.0,300.0
20,1100.0,400.0,0.0,100.0,200.0,300.0
21,100.0,500.0,0.0,300.0,100.0,100.0
22,400.0,500.0,0.0,200.0,100.0,100.0
23,600.0,500.0,0.0,100.0,200.0,300.0
24,700.0,500.0,0.0,100.0,200.0,300.0
25,800.0,500.0,0.0,100.0,200.0,300.0
26,1000.0,500.0,0.0,100.0,200.0,200.0
27,0.0,600.0,0.0,300.0,100.0,100.0
28,300.0,600.0,0.0,200.0,100.0,200.0
29,500.0,600.0,0.0,100.0,100.0,200.0
30,900.0,600.0,0.0,100.0,200.0,300.0
31,1100.0,600.0,0.0,100.0,100.0,300.0
32,0.0,700.0,0.0,300.0,100.0,100.0
33,300.0,700.0,0.0,200.0,100.0,200.0
34,500.0,700.0,0.0,100.0,100.0,300.0
35,600.0,700.0,0.0,200.0,100.0,300.0
36,1000.0,700.0,0.0,200.0,100.0,300.0
37,800.0,700.0,0.0,100.0,100.0,200.0
38,1100.0,0.0,100.0,100.0,200.0,300.0
39,0.0,200.0,100.0,100.0,200.0,100.0
40,100.0,200.0,100.0,100.0,100.0,200.0
41,200.0,200.0,100.0,100.0,200.0,300.0
42,400.0,200.0,100.0,100.0,100.0,300.0
43,700.0,200.0,100.0,100.0,100.0,300.0
44,400.0,300.0,100.0,100.0,200.0,200.0
45,100.0,300.0,100.0,100.0,100.0,300.0
46,700.0,300.0,100.0,100.0,200.0,300.0
47,1000.0,300.0,100.0,100.0,200.0,200.0
48,100.0,500.0,100.0,200.0,100.0,100.0
49,300.0,500.0,100.0,200.0,100.0,300.0
50,500.0,500.0,100.0,100.0,100.0,300.0
51,0.0,600.0,100.0,200.0,100.0,300.0
52,200.0,600.0,100.0,100.0,200.0,200.0
53,0.0,700.0,100.0,200.0,100.0,300.0
54,0.0,0.0,200.0,300.0,100.0,100.0
55,300.0,0.0,200.0,100.0,200.0,100.0
56,400.0,0.0,200.0,200.0,100.0,100.0
57,600.0,0.0,200.0,100.0,300.0,200.0
58,700.0,0.0,200.0,100.0,200.0,300.0
59,800.0,0.0,200.0,200.0,100.0,300.0
60,1000.0,0.0,200.0,100.0,300.0,100.0
61,0.0,100.0,200.0,200.0,100.0,100.0
62,200.0,100.0,200.0,100.0,100.0,200.0
63,400.0,100.0,200.0,200.0,100.0,200.0
64,800.0,100.0,200.0,100.0,300.0,200.0
65,900.0,100.0,200.0,100.0,300.0,200.0
66,0.0,200.0,200.0,100.0,100.0,300.0
67,300.0,200.0,200.0,100.0,200.0,200.0
68,500.0,200.0,200.0,100.0,100.0,300.0
69,1100.0,200.0,200.0,100.0,200.0,200.0
70,0.0,300.0,200.0,100.0,200.0,100.0
71,500.0,300.0,200.0,100.0,200.0,200.0
72,100.0,400.0,200.0,100.0,200.0,300.0
73,1000.0,500.0,200.0,100.0,200.0,300.0
74,300.0,600.0,200.0,100.0,200.0,200.0
75,400.0,600.0,200.0,100.0,200.0,200.0
76,600.0,300.0,200.0,100.0,100.0,200.0
77,0.0,0.0,300.0,200.0,100.0,200.0
78,200.0,0.0,300.0,300.0,100.0,200.0
79,1000.0,0.0,300.0,100.0,200.0,200.0
80,300.0,400.0,200.0,100.0,100.0,200.0
81,800.0,400.0,200.0,100.0,100.0,200.0
82,0.0,500.0,200.0,100.0,100.0,300.0
83,500.0,600.0,200.0,100.0,100.0,300.0
84,1000.0,200.0,300.0,100.0,300.0,200.0
85,800.0,700.0,200.0,100.0,100.0,300.0
86,500.0,0.0,300.0,100.0,100.0,200.0
87,0.0,100.0,300.0,200.0,100.0,100.0
88,0.0,300.0,300.0,100.0,200.0,200.0
89,100.0,200.0,300.0,100.0,100.0,200.0
90,200.0,400.0,300.0,100.0,300.0,100.0
91,400.0,300.0,300.0,100.0,200.0,200.0
92,600.0,400.0,300.0,100.0,300.0,100.0
93,900.0,400.0,300.0,100.0,200.0,100.0
94,1100.0,400.0,300.0,100.0,300.0,100.0
95,700.0,500.0,300.0,100.0,200.0,100.0
96,800.0,500.0,300.0,100.0,200.0,200.0
97,900.0,600.0,300.0,100.0,200.0,100.0
98,200.0,700.0,300.0,100.0,100.0,200.0
99,500.0,700.0,300.0,300.0,100.0,200.0
100,1000.0,700.0,300.0,200.0,100.0,100.0
101,200.0,100.0,400.0,200.0,300.0,100.0
102,600.0,0.0,400.0,100.0,300.0,100.0
103,1100.0,0.0,400.0,100.0,200.0,100.0
104,0.0,100.0,400.0,200.0,100.0,100.0
105,800.0,100.0,400.0,200.0,300.0,100.0
106,700.0,200.0,400.0,100.0,300.0,100.0
107,500.0,300.0,400.0,200.0,300.0,100.0
108,400.0,100.0,400.0,200.0,100.0,100.0
109,200.0,400.0,400.0,200.0,200.0,100.0
110,1100.0,200.0,400.0,100.0,300.0,100.0
111,900.0,400.0,400.0,100.0,300.0,100.0
112,0.0,600.0,400.0,200.0,200.0,100.0
113,700.0,500.0,400.0,100.0,200.0,100.0
114,1100.0,500.0,400.0,100.0,300.0,100.0
115,200.0,600.0,400.0,300.0,100.0,100.0
116,900.0,700.0,400.0,200.0,100.0,100.0
